,time,open,high,low,close,tick_volume,spread,real_volume
0,1420185600,1.20481,1.20689,1.20341,1.20573,13573,17,0
1,1420200000,1.20573,1.20576,1.20248,1.20303,11302,17,0
2,1420214400,1.20302,1.20329,1.20031,1.2009,16214,17,0
3,1420228800,1.20093,1.20149,1.19993,1.20002,5820,17,0
4,1420416000,1.1951100000000001,1.19754,1.1859899999999999,1.19539,15220,17,0
5,1420430400,1.19539,1.19646,1.1925,1.19344,8637,17,0
6,1420444800,1.19343,1.19756,1.19302,1.19538,17365,17,0
7,1420459200,1.19537,1.19565,1.18864,1.1912,21438,17,0
8,1420473600,1.19124,1.19409,1.19079,1.19226,18609,17,0
9,1420488000,1.19224,1.1949,1.1914,1.19322,7377,17,0
10,1420502400,1.19323,1.19456,1.1926,1.19402,5657,17,0
11,1420516800,1.19402,1.19575,1.19398,1.19564,7125,17,0
12,1420531200,1.19564,1.1968,1.19042,1.19071,16274,17,0
13,1420545600,1.19071,1.19188,1.18834,1.19064,19107,17,0
14,1420560000,1.19067,1.19581,1.1886700000000001,1.19214,24949,17,0
15,1420574400,1.19215,1.19356,1.18866,1.18886,12567,17,0
16,1420588800,1.18889,1.18903,1.18491,1.18764,8147,17,0
17,1420603200,1.18762,1.18794,1.18658,1.18776,6144,17,0
18,1420617600,1.18774,1.18954,1.1851099999999999,1.1853,18262,17,0
19,1420632000,1.18535,1.18753,1.18181,1.18293,23927,17,0
20,1420646400,1.18292,1.18344,1.1801300000000001,1.18287,20832,17,0
21,1420660800,1.18286,1.18578,1.18076,1.18386,14025,17,0
22,1420675200,1.18381,1.18466,1.18245,1.18248,6604,17,0
23,1420689600,1.18249,1.18305,1.1816200000000001,1.18204,6993,17,0
24,1420704000,1.18203,1.18234,1.17793,1.1780599999999999,16110,17,0
25,1420718400,1.1780599999999999,1.1788,1.17534,1.1786699999999999,18882,17,0
26,1420732800,1.17866,1.18184,1.17713,1.18164,19857,17,0
27,1420747200,1.18161,1.18163,1.17794,1.1791,7717,17,0
28,1420761600,1.17908,1.18102,1.17861,1.18001,7331,17,0
29,1420776000,1.18001,1.18142,1.17991,1.18096,7390,17,0
30,1420790400,1.18096,1.18193,1.17841,1.18153,15308,17,0
